type,properties.streamorder,properties.streamID,properties.followingStreamID,properties.id,geometry.type,geometry.coordinates
Feature,1,2975,2862,2975_3,Point,-73.14290139747567;10.287042233689903
Feature,1,2975,2862,2975_4,Point,-73.1503987716192;10.287734151408578
Feature,1,2975,2862,2975_5,Point,-73.15656636119695;10.2871187120161
Feature,1,2975,2862,2975_6,Point,-73.16228931616928;10.287644243582093
Feature,1,2975,2862,2975_7,Point,-73.1688475914229;10.286440286336715
Feature,1,2975,2862,2975_8,Point,-73.17462412798835;10.28990812900522
Feature,1,3012,2914,3012_1,Point,-73.13275240666322;10.300878814258184
Feature,1,3012,2914,3012_2,Point,-73.14033081483115;10.30065127918534
Feature,1,3012,2914,3012_3,Point,-73.14811848512343;10.298707170537673
Feature,1,3012,2914,3012_4,Point,-73.15596823775428;10.297938411197759
Feature,1,3012,2914,3012_5,Point,-73.16229537094598;10.294629602307928
Feature,1,3012,2914,3012_6,Point,-73.16318748047193;10.294453866222623
Feature,1,3050,2806,3050_1,Point,-73.07689809196067;10.463444555533073
Feature,1,3050,2806,3050_2,Point,-73.0844908169602;10.465958547999524
Feature,1,3050,2806,3050_3,Point,-73.09095381895513;10.468068020451902
Feature,1,3050,2806,3050_4,Point,-73.09823976925871;10.467818602662467
Feature,1,3051,2806,3051_1,Point,-73.10270047704127;10.470650173303117
Feature,1,3064,2919,3064_1,Point,-73.08129560004002;10.461211179286163
Feature,1,3064,2919,3064_2,Point,-73.08873333107287;10.464388303534164
Feature,1,3064,2919,3064_3,Point,-73.0960342734808;10.465548196017407
Feature,1,3064,2919,3064_4,Point,-73.10276324361779;10.462243669149375
Feature,1,3065,2919,3065_1,Point,-73.0914785362637;10.4537694532391
Feature,1,3065,2919,3065_2,Point,-73.09760368082672;10.458958641563862
Feature,1,3090,2850,3090_1,Point,-73.06516926688525;10.46970117644143
Feature,1,3090,2850,3090_2,Point,-73.0732179527478;10.470925113476316
Feature,1,3090,2850,3090_3,Point,-73.08065453594774;10.470879632065335
Feature,1,3090,2850,3090_4,Point,-73.08440859935021;10.475964392455754
Feature,1,3090,2850,3090_5,Point,-73.09138213006774;10.478989354293832
Feature,1,3090,2850,3090_6,Point,-73.09750448107629;10.48299746040993
Feature,1,3090,2850,3090_7,Point,-73.0990537699046;10.484549453931006
Feature,1,3100,2851,3100_1,Point,-73.04756060661222;10.495988663279944
Feature,1,3100,2851,3100_2,Point,-73.05448077101025;10.493087287993548
Feature,1,3100,2851,3100_3,Point,-73.0624268372254;10.492283117687228
Feature,1,3100,2851,3100_4,Point,-73.06922604975117;10.49195647842992
Feature,1,3100,2851,3100_5,Point,-73.07614400381838;10.488841046949707
Feature,1,3100,2851,3100_6,Point,-73.0826944796978;10.492171184398437
Feature,1,3100,2851,3100_7,Point,-73.0894671051685;10.490418938068888
Feature,1,3100,2851,3100_8,Point,-73.0967570273667;10.491377727129523
Feature,1,3102,2851,3102_1,Point,-73.09205323691411;10.494179892154774
Feature,1,3105,2850,3105_1,Point,-73.09575032425668;10.487060781160865
Feature,1,3106,2850,3106_1,Point,-73.07341911991887;10.479604254742215
Feature,1,3106,2850,3106_2,Point,-73.07879204788078;10.48215741520136
Feature,1,3106,2850,3106_3,Point,-73.08372094090205;10.48165517159066
Feature,1,3106,2850,3106_4,Point,-73.09031377475486;10.483160673904779
Feature,1,3106,2850,3106_5,Point,-73.09589031198078;10.48606726245854
Feature,1,3123,2276,3123_1,Point,-73.06678066386672;10.356446001747527
Feature,1,3123,2276,3123_2,Point,-73.07471346290625;10.357397521962142
Feature,1,3123,2276,3123_3,Point,-73.0824297225724;10.359974693196078
Feature,1,3123,2276,3123_4,Point,-73.09052065100835;10.360683597259245
Feature,1,3123,2276,3123_5,Point,-73.09839804314556;10.362120171229288
Feature,1,3123,2276,3123_6,Point,-73.10622751287036;10.363008391912798
Feature,1,3123,2276,3123_7,Point,-73.11427582952693;10.363869266116138
Feature,1,3123,2276,3123_8,Point,-73.12121792793126;10.367977809988457
Feature,1,3123,2276,3123_9,Point,-73.12823046495188;10.370549873382322
Feature,1,3123,2276,3123_10,Point,-73.13572070738508;10.370140646159678
Feature,1,3123,2276,3123_11,Point,-73.14291140007174;10.372069773401373
Feature,1,3123,2276,3123_12,Point,-73.14802882152594;10.377444520383033
Feature,1,3123,2276,3123_13,Point,-73.1527769623154;10.381860778427955
Feature,1,3123,2276,3123_14,Point,-73.15919864116734;10.38347665029172
Feature,1,3123,2276,3123_15,Point,-73.1661196023163;10.38440417612129
